valve_model,valve_model_clean,position,size_mm,n,mean_gradient_mmHg_mean,mean_gradient_sd,peak_velocity,peak_gradient_mmHg_mean,peak_gradient_mmHg_sd,eoa_cm2_mean,eoa_sd,dvi_mean,dvi_sd,canonical_model,source_table,source_page,confidence,source,retrieved_at
Carbomedicsreduced,Carbomedicsreduced,aortic,19,,24.4,1.2,,43.4,1.2,1.2,0.1,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsStandard,Carbomedics Standard,aortic,19,,18.9,8.3,,38.0,12.8,1.0,0.3,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsStandard (Bileaflet),Carbomedics Standard (Bileaflet),aortic,21,,12.9,5.4,,26.8,10.1,1.5,0.4,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsStandard (Bileaflet),Carbomedics Standard (Bileaflet),aortic,23,,11.0,4.6,,22.5,7.4,1.4,0.3,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsStandard (Bileaflet),Carbomedics Standard (Bileaflet),aortic,25,,9.1,3.5,,19.6,7.8,1.8,0.4,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsStandard (Bileaflet),Carbomedics Standard (Bileaflet),aortic,27,,7.9,3.2,,17.5,7.1,2.2,0.2,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsStandard (Bileaflet),Carbomedics Standard (Bileaflet),aortic,29,,5.6,3.0,,9.1,4.7,3.2,1.6,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsTophat,Carbomedics Tophat,aortic,21,,14.9,5.4,,30.2,10.9,1.2,0.3,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsTophat (Bileaflet),Carbomedics Tophat (Bileaflet),aortic,23,,12.5,4.4,,24.2,7.6,1.4,0.4,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarbomedicsTophat (Bileaflet),Carbomedics Tophat (Bileaflet),aortic,25,,9.5,2.9,,,,1.6,0.32,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsPericardial,Carpentier Edwards Pericardial,aortic,19,,24.2,8.6,,32.1,3.4,1.2,0.3,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsPericardial (Stentedbovinepericardial),Carpentier Edwards Pericardial (Stentedbovinepericardial),aortic,21,,20.3,9.1,,25.7,9.9,1.5,0.4,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsPericardial (Stentedbovinepericardial),Carpentier Edwards Pericardial (Stentedbovinepericardial),aortic,23,,13.0,5.3,,21.7,8.6,1.8,0.3,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsPericardial (Stentedbovinepericardial),Carpentier Edwards Pericardial (Stentedbovinepericardial),aortic,25,,9.0,2.3,,16.5,5.4,,,,,Perimount,Table A4,53,medium,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsStandard,Carpentier Edwards Standard,aortic,19,,25.6,8.0,,43.5,12.7,0.9,0.2,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsStandard (Stentedporcine),Carpentier Edwards Standard (Stentedporcine),aortic,21,,17.3,6.2,,27.7,7.6,1.5,0.3,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsStandard (Stentedporcine),Carpentier Edwards Standard (Stentedporcine),aortic,23,,16.1,6.2,,28.9,7.5,1.7,0.5,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsStandard (Stentedporcine),Carpentier Edwards Standard (Stentedporcine),aortic,25,,12.9,4.6,,24.0,7.1,1.9,0.5,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsStandard (Stentedporcine),Carpentier Edwards Standard (Stentedporcine),aortic,27,,12.1,5.5,,22.1,8.2,2.3,0.6,,,Perimount,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierEdwardsStandard (Stentedporcine),Carpentier Edwards Standard (Stentedporcine),aortic,29,,9.9,2.9,,,,2.8,0.5,,,Perimount,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierSupra-Annular,Carpentier Supra-Annular,aortic,19,,34.1,2.7,,,,1.1,0.1,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierSupra-Annular (Stentedporcine),Carpentier Supra-Annular (Stentedporcine),aortic,21,,17.5,3.8,,28.0,10.5,1.4,0.9,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierSupra-Annular (Stentedporcine),Carpentier Supra-Annular (Stentedporcine),aortic,23,,13.4,4.5,,25.3,10.5,1.6,0.6,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierSupra-Annular (Stentedporcine),Carpentier Supra-Annular (Stentedporcine),aortic,25,,13.2,4.8,,24.4,7.6,1.8,0.4,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
CarpentierSupra-Annular (Stentedporcine),Carpentier Supra-Annular (Stentedporcine),aortic,27,,8.8,2.8,,16.7,4.7,1.9,0.7,,,,Table A4,53,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Cryolife,Cryolife,aortic,19,,9.0,2.0,,,,1.5,0.3,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Cryolife (Stentless),Cryolife (Stentless),aortic,21,,6.6,2.9,,,,1.7,0.4,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Cryolife (Stentless),Cryolife (Stentless),aortic,23,,6.0,2.3,,,,2.3,0.2,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Cryolife (Stentless),Cryolife (Stentless),aortic,25,,6.1,2.6,,,,2.6,0.2,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Cryolife (Stentless),Cryolife (Stentless),aortic,27,,,,,,,4.0,2.4,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsDuromedics,Edwards Duromedics,aortic,21,,39.0,13.0,,,,,,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsDuromedics (Bileaflet),Edwards Duromedics (Bileaflet),aortic,23,,32.0,8.0,,,,,,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsDuromedics (Bileaflet),Edwards Duromedics (Bileaflet),aortic,25,,26.0,10.0,,,,,,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsDuromedics (Bileaflet),Edwards Duromedics (Bileaflet),aortic,27,,24.0,10.0,,,,,,,,,Table A4,53,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards,Edwards,aortic,19,,17.6,7.8,,,,1.1,0.2,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards InspirisResilia,Edwards Inspiris Resilia,aortic,21,,12.6,4.7,,,,1.3,0.3,,,Inspiris RESILIA,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards InspirisResilia,Edwards Inspiris Resilia,aortic,23,,10.1,3.8,,,,1.6,0.4,,,Inspiris RESILIA,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards InspirisResilia,Edwards Inspiris Resilia,aortic,25,,9.6,5.2,,,,1.8,0.5,,,Inspiris RESILIA,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards InspirisResilia,Edwards Inspiris Resilia,aortic,27,,8.2,3.5,,,,2.2,0.6,,,Inspiris RESILIA,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards,Edwards,aortic,19,,13.9,3.9,,,,1.1,0.1,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards Intuity,Edwards Intuity,aortic,21,,11.6,3.6,,,,1.3,0.1,,,INTUITY Elite,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards Intuity,Edwards Intuity,aortic,23,,10.4,3.5,,,,1.7,0.2,,,INTUITY Elite,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards Intuity,Edwards Intuity,aortic,25,,9.1,3.2,,,,1.9,0.2,,,INTUITY Elite,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Edwards Intuity,Edwards Intuity,aortic,27,,8.3,3.7,,,,2.2,0.2,,,INTUITY Elite,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMira,Edwards Mira,aortic,19,,18.2,5.3,,,,1.2,0.4,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMira (Bileaflet),Edwards Mira (Bileaflet),aortic,21,,13.3,4.3,,,,1.6,0.4,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMira (Bileaflet),Edwards Mira (Bileaflet),aortic,23,,14.7,2.8,,,,1.6,0.6,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMira (Bileaflet),Edwards Mira (Bileaflet),aortic,25,,13.1,3.8,,,,1.9,,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMosaic,Edwards Mosaic,aortic,21,,13.3,5.3,,,,1.4,0.4,,,Mosaic,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMosaic,Edwards Mosaic,aortic,23,,11.8,4.9,,,,1.6,0.5,,,Mosaic,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMosaic,Edwards Mosaic,aortic,25,,10.6,4.4,,,,1.8,0.5,,,Mosaic,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMosaic,Edwards Mosaic,aortic,27,,9.1,4.0,,,,2.0,0.5,,,Mosaic,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
EdwardsMosaic,Edwards Mosaic,aortic,29,,8.6,2.9,,,,2.3,0.6,,,Mosaic,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Hancock,Hancock,aortic,21,,12.0,2.0,,18.0,6.0,,,,,Hancock II,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Hancock (Stentedporcine),Hancock (Stentedporcine),aortic,23,,11.0,2.0,,16.0,2.0,,,,,Hancock II,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Hancock (Stentedporcine),Hancock (Stentedporcine),aortic,25,,10.0,3.0,,15.0,3.0,,,,,Hancock II,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
HancockII,Hancock II,aortic,21,,14.8,4.1,,,,1.3,0.4,,,Hancock II,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
HancockII (Stentedporcine),Hancock II (Stentedporcine),aortic,23,,16.6,8.5,,34.0,13.0,1.3,0.4,,,Hancock II,Table A4,54,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
HancockII (Stentedporcine),Hancock II (Stentedporcine),aortic,25,,10.8,2.8,,22.0,5.3,1.6,0.4,,,Hancock II,Table A4,54,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
HancockII (Stentedporcine),Hancock II (Stentedporcine),aortic,29,,8.2,1.7,,16.2,1.5,1.6,0.2,,,Hancock II,Table A4,54,high,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft,Homograft,aortic,17-19,,9.7,4.2,,,,4.2,1.8,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,19-21,,5.4,0.9,,,,,,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,20-21,,7.9,4.0,,,,3.6,2.0,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,20-22,,7.2,3.0,,,,3.5,1.5,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,22,,5.8,3.2,,,,1.7,0.3,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,22-23,,5.6,3.1,,,,2.6,1.4,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
Homograft (Homograftvalves),Homograft (Homograftvalves),aortic,22-24,,5.6,1.7,,,,,,,,,Table A4,54,low,"Zoghbi WA, Jone PN, Chamsi-Pasha MA, et al. Guidelines for the Evaluation of Prosthetic Valve Function With Cardiovascular Imaging: A Report from the American Society of Echocardiography. J Am Soc Echocardiogr 2024;37:2-63, Appendix Tables A1-A4",2026-09-16T12:15:51Z
